evidence_id,source_id,title,date_or_year,exact_coordinate,supported_conclusion,stable_url,authority,access_date
WEB001,SRC-BOURGNE-AZRA-1976,René Taton review of the 1976 Bourgne–Azra printing,1977,"Revue d’histoire des sciences 30(2), p. 179; review paragraphs reporting the new supplementary pages",The 1976 facsimile printing added a list of errata and two concordance tables; the accessible review does not expose item-level errata.,https://www.persee.fr/doc/rhs_0151-4105_1977_num_30_2_1486,published review,2026-08-13
WEB002,SRC-CAUCHY-TERMS,"Christopher D. Hollings, early group terminology",2017,"Archive for History of Exact Sciences 71, pp. 409–481; footnote 12 in §2.1",Cauchy’s système de substitutions conjuguées has been translated as conjoined substitutions; translating it as modern conjugate substitutions is historically hazardous and does not establish pairwise commutativity.,https://doi.org/10.1007/s00407-017-0193-8,peer-reviewed historical journal article,2026-08-13
WEB003,SRC-DICKER-2026,"Math Dicker, Proposition II reconstruction",2026-07-22,"arXiv:2607.20147, abstract and submission history","A modern paper explicitly treats Galois’s incomplete Proposition II and reconstructs missing arguments; it is later scholarship, not an earlier erratum witness.",https://arxiv.org/abs/2607.20147,dated research preprint,2026-08-13
WEB004,SRC-NUMDAM-1846,Numdam record for Galois’s 1846 collected publication,1846,"JMPA series 1, volume 11, pp. 381–444; record field “corrected-by Errata”",The publication metadata and linked errata record are securely identified; item-level attribution still requires inspection of the linked errata.,https://www.numdam.org/item/JMPA_1846_1_11__381_0/,scholarly journal archive,2026-08-13
WEB005,SRC-ETH-1897,ETH-Bibliothek independent 1897 copy,1897; online 2013-10-08,Rar 4575; DOI 10.3931/e-rara-19915; catalogue fields for IIIF and downloads,An independent 1897 comparison copy exists and has IIIF/download infrastructure; the colophon job number was not resolved in the bounded retrieval.,https://www.e-rara.ch/zut/content/titleinfo/6262819,library catalogue and digitized copy portal,2026-08-13
WEB006,SRC-LOCAL-1908,Wikimedia Commons Tannery 1908 scan record,1908; uploaded 2011,"File record: 3,735 × 5,802 pixels, 87 pages",A high-resolution 87-page public scan of Tannery’s collation is independently catalogued.,"https://commons.wikimedia.org/wiki/File:Galois_-_Manuscrits,_édition_Tannery,_1908.djvu",public scan repository metadata,2026-08-13
WEB007,SRC-DLMF-LEGENDRE,DLMF Legendre relation,current reference,DLMF 19.7.1,"The printed 1897/1846 formula EE′+E′K−KK′=π/2, under the source’s F/K notation, has the standard Legendre-relation shape; this does not by itself decode the manuscript double-prime variant.",https://dlmf.nist.gov/19.7.E1,authoritative mathematical reference,2026-08-13
WEB008,SRC-WIKI-TOC,Harvard-copy Wikisource table-of-contents page,last modified 2018-07-22,"Page 91, oldid 7722271",The comparison transcription silently gives roman v for the Introduction and supplies a secure latest date for that correction; it is not an explicit erratum notice.,"https://fr.wikisource.org/w/index.php?title=Page:Galois_-_Œuvres_mathématiques,_Gauthier-Villars,_1897.djvu/91&oldid=7722271",dated comparison transcription,2026-08-13
WEB009,SRC-NEUMANN-2013,"Peter M. Neumann, The mathematical writings of Évariste Galois",2011; corrected second printing September 2013,EMS book overview and contents metadata; DOI 10.4171/104,"A modern corrected second printing exists, but subscription-limited item pages were not used to attribute specific errata without direct inspection.",https://ems.press/books/hem/102,publisher record,2026-08-13
WEB010,SRC-AFFINE-PRIMITIVE,Maróti–Skresanov on affine primitive groups,2023,"Vietnam Journal of Mathematics 51, introduction around the faithful irreducible module criterion","If V is a faithful irreducible F_pH-module, HV is affine primitive with socle V; this is the modern structural framework used in the degree-16 counterexample and W10 repair.",https://doi.org/10.1007/s10013-023-00607-5,peer-reviewed mathematical article,2026-08-13
WEB011,SRC-WIKI-1897,Harvard College Library 1897 copy index,1897 scan; online transcription,Book index metadata and complete table of contents,The online comparison copy identifies Harvard College Library provenance and reproduces the corrected Introduction folio v.,"https://fr.wikisource.org/wiki/Livre:Galois_-_Œuvres_mathématiques,_Gauthier-Villars,_1897.djvu",comparison transcription and scan index,2026-08-13
